binomial name,rank,common name,source,group
Leucopholis rorida,species,whitegrub,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Euchlora viridis,species,whitegrub,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Ferrisia virgata,species,mealybug ,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Pseudococcus jackbeardsleyi,species,mealybug ,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Pseudococcus elisae,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Oligonychus biharensis,species,mite,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Mononychellus mcgregori,species,cassava green mite,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Pentalonia nigronervosa,species,Banana aphid,https://bioprotectionportal.com/resources/banana-pests-guide/,banana
Cosmopolites sordidus,species,Banana Weevil,https://bioprotectionportal.com/resources/banana-pests-guide/,banana
Erionota thrax,species,Banana skipper,https://bioprotectionportal.com/resources/banana-pests-guide/,banana
Nacoleia octasema,species,Banana scab moth,https://bioprotectionportal.com/resources/banana-pests-guide/,banana
Thrips hawaiiensis,species,Flower Thrips,https://wikifarmer.com/library/en/article/banana-plant-protection-common-pests-of-banana-plants,banana
Tiracola plagiata,species,Fruit Caterpillar,https://wikifarmer.com/library/en/article/banana-plant-protection-common-pests-of-banana-plants,banana
Chaetanaphothrips signipennis,species,Rust Thrips,https://wikifarmer.com/library/en/article/banana-plant-protection-common-pests-of-banana-plants,banana
Aspidiotus destructor,species,Banana Scale Insect,https://wikifarmer.com/library/en/article/banana-plant-protection-common-pests-of-banana-plants,banana
Amrasca biguttula ,species,leafhopper,https://www.skuast.org/admin/admin/news/1569838780Insect%20pests%20of%20okra%20and%20their%20management.pdf,okra
Earias insulana,species,fruit borer,https://www.skuast.org/admin/admin/news/1569838780Insect%20pests%20of%20okra%20and%20their%20management.pdf,okra
Myzus persicae,species,,https://plantvillage.psu.edu/topics/okra/infos,okra
Macrosiphum euphorbiae,species,,https://plantvillage.psu.edu/topics/okra/infos,okra
Spodoptera exigua,species,,https://plantvillage.psu.edu/topics/okra/infos,okra
Spodoptera exigua,species,,https://plantvillage.psu.edu/topics/okra/infos,okra
Acalymma vittata,species,,https://plantvillage.psu.edu/topics/okra/infos,okra
Trichoplusia ni,species,Cabbage looper,https://plantvillage.psu.edu/topics/okra/infos,okra
Thrips palmi,species,thrips,https://plantvillage.psu.edu/topics/okra/infos,okra
Amrasca bigutulla,species,leafhopper,https://www.researchgate.net/publication/365673809_Major_Insect-Pests_and_Diseases_of_Okra_and_their_Management,okra
Aphis gossypii,species,aphid,https://www.researchgate.net/publication/365673809_Major_Insect-Pests_and_Diseases_of_Okra_and_their_Management,okra
Manduca sexta,species,Tobacco hornworm,https://bioprotectionportal.com/resources/tomato-pests-guide/,tomato
Aulacorthum solani,species,Glasshouse potato aphid,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Pseudococcus viburni,species,Obscure Mealybug,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Lacanobia oleracea,species,Tomato moth,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Trialeurodes vaporariorum,species,Greenhouse whitefly,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Nezara viridula,species,,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Nesidiocoris tenuis,species,,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Engytatus modestus,species,,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Aculops lycopersici,species,tomato russet mite,https://www.koppert.co.uk/crops/protected-vegetables/tomato/,tomato
Phthorimaea operculella,species,Potato tuber moth,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,potato
Tecia solanivora,species,Guatemalan potato tuber moth,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,potato
Symmetrischema tangolias,species,Andean potato tuber moth,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,potato
Cylas puncticollis,species,Sweetpotato weevil,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,sweetpotato
Cylas brunneus,species,Sweetpotato weevil,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,sweetpotato
Acraea acerata,species,Sweetpotato butterfly,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,sweetpotato
Bemisia tabaci,species,Sweetpotato white fly,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,sweetpotato
Bemisia afer,species,White fly,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,sweetpotato
Liriomyza huidobrensis,species,Serpentine leafminer fly,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,vegetable
Liriomyza sativae,species,Vegetable leafminer,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,vegetable
Liriomyza trifolii,species,American serpentine leafminer,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,vegetable
Trialeurodes vaporarium,species,Greenhouse whitefly,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,vegetable
Chilo partellus,species,Spotted stemborer,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,maize
Busseola fusca,species,Maize stalk borer,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,maize
Sesamia calamistis,species,African pink stemborer,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,maize
Copidosoma koehleri,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Apanteles subandinus,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Orgilus lepidus,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Halticoptera arduine,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Phaedrotoma scabriventris,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Chrysocharis flacilla,species,NA,https://cipotato.org/riskatlasforafrica/current-and-potential-distribution-and-abundance-of-pests/,biocontrol agent
Peregrinus maidis,Species,corn planthopper,wikipedia,maize
Euplatypus hintzi,species,,https://treatment.plazi.org/id/2127217CC847DC04FF44F759EE1FBA4C,wood
Monolepta jacksoni,species,NA,https://www.business.qld.gov.au/industries/farms-fishing-forestry/agriculture/biosecurity/plants/insects/field-crop/leaf-beetles,soya and other crops
Hycleus hermanniae,species,blister beetle,https://en.wikipedia.org/wiki/Hycleus,legumes
